,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74
46,11994,4071,0,0,11504,3136,2233,10446,6057,76684,14268,0,2601,1,28165,883,18205,12136,3,1653,11988,1121,0,1301,5307,21001,2049,8799,11900,3771,843,7521,0,5123,5835,5909,5829,4650,3321,6317,0,9328,12299,7169,9069,31405,6411,1426,1633,49626,59592,7318,0,2667,13915,0,0,7462,1,30228,622,0,29,256181,17322,3,31959,8900,4650,8821,0,16560,5431,0,19123
47,945,79,0,0,298,655,21,271,441,5882,629,344,403,161,2719,0,787,530,0,116,3071,247,0,282,1808,4583,1014,1175,2914,142,123,600,0,680,690,79,222,655,62,60,0,1219,1161,553,1202,1671,436,162,81,2213,4619,1558,0,21,4093,0,0,1008,0,1501,119,0,0,44636,87,0,1085,499,1431,2188,2,390,174,0,680
48,276,21,0,0,10,25,71,0,214,531,104,0,73,26,176,0,35,0,15,135,1652,242,95,241,1120,1216,209,351,1206,49,87,55,1,132,209,0,40,26,163,10,0,41,280,54,58,233,55,9,1,459,208,244,0,174,840,0,0,23,7,152,11,1,1,3423,1,0,162,29,291,722,6,343,32,1,205
49,8693,558,2,233,4,665,1329,1,2413,25202,7213,17,407,1,9323,0,1143,1046,1199,1,7664,1197,417,926,4930,8343,19,861,8120,1237,368,1718,0,422,1589,1,810,1420,849,1078,0,2315,1256,1428,3439,14290,3468,2,27,6358,15531,3048,1,111,8764,2,0,604,8,3985,3,0,0,154343,2686,1092,1054,2737,6292,12167,4,6015,2730,1,3039
50,465,356,0,76,685,0,4,716,768,4129,510,0,456,0,1917,0,604,0,0,316,3094,466,1,699,1859,3167,717,1633,4369,896,199,1663,0,249,207,439,550,441,100,43,2,339,742,278,70,2213,887,91,172,2489,3564,493,0,66,5,0,0,408,1,1618,1,0,193,6897,583,153,188,598,1057,3143,4,162,1,0,128
51,639,428,1,0,326,185,0,280,613,3487,1247,1,241,0,2204,6,381,161,295,295,2328,274,613,183,1948,2902,193,317,2224,305,163,254,0,634,140,521,89,210,3,116,0,956,401,441,960,1675,444,110,0,2277,5246,469,0,193,136,1,0,157,7,1461,29,0,143,13104,403,0,209,592,1101,1865,4,553,13,0,845
52,402,243,0,0,94,970,55,443,203,3911,416,0,304,61,809,0,403,189,79,228,1300,119,84,155,571,986,1,511,1410,60,64,710,0,306,26,0,133,313,5,0,0,548,377,76,199,0,303,1,3,1073,2099,266,0,0,1345,0,0,257,0,2685,98,0,0,3438,368,109,497,412,740,681,0,843,414,0,199
53,1925,69,0,0,0,19,182,38,2786,5842,2572,0,1589,2,2105,0,1263,22,1,618,27,168,25,481,405,723,11,9,817,0,36,1373,4,44,477,350,0,682,0,889,0,1997,1298,835,855,178,748,585,53,7829,7642,565,0,4,17155,0,0,1006,0,238,475,0,65,60567,1820,3,1404,2335,899,1275,0,3516,84,0,0
54,1041,87,0,0,4,0,0,466,34,138,252,0,493,0,0,0,342,0,367,0,2276,251,1,371,1865,2402,603,754,1973,86,142,447,1,253,0,1,24,176,14,0,242,0,258,18,558,0,1208,0,0,0,0,0,0,0,2232,0,0,0,0,20,64,0,0,4452,1,161,0,0,536,746,1,145,111,126,0
55,2664,957,191,0,2547,790,2092,1207,1694,12849,1690,42,767,0,4096,0,1134,1578,572,201,1803,122,0,155,1139,2913,1027,638,2267,303,108,435,0,923,1212,3,754,1034,20,2124,0,2740,1319,873,2520,1395,1052,156,202,10736,15041,991,0,1261,2435,0,0,361,0,5787,0,0,159,30867,2641,211,9203,1021,3007,968,0,1882,345,0,2895
