,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87
43,2668,892,3422,1387,1,1040,260,919,152,398,2918,1315,623,627,1340,239,3073,1465,981,1972,1353,2415,342,1718,2338,303,0,1996,807,750,169,1511,12523,451,751,2095,974,1786,1185,673,1513,1817,1559,2,696,1277,438,698,2405,2357,10870,265,13206,2074,2247,1384,167,467,1760,731,20690,511,465,833,1607,370,772,127385,583,482,706,1206,990,1952,463,576,1212,763,454,0,204,697,16994,137,967,2659,587,1303
44,3102,974,6906,1202,4496,1315,563,1668,688,195,6394,2258,625,1643,1223,462,7615,838,1160,1331,2090,794,164,652,1030,386,216,998,1318,1288,361,1304,5005,444,225,2915,1852,1805,802,212,1343,2707,2177,985,1098,1602,325,1200,5442,2353,1469,1031,11390,1542,1855,1180,591,1348,777,758,20081,565,1064,18507,3397,1300,932,103308,1512,1584,292,4011,1096,1258,385,887,591,1578,245,113,748,447,19762,612,1793,7983,996,1327
45,2788,628,3575,1137,40,1766,285,891,182,359,1651,871,238,994,1312,497,4677,479,1012,1149,1319,696,105,421,1114,80,81,698,1200,883,379,1149,5692,158,321,1115,1264,482,390,58,734,998,961,0,536,818,719,70,2235,1013,3736,116,4674,1169,613,574,373,253,797,618,18018,233,769,327,583,454,652,82249,334,645,647,1009,524,882,482,918,587,1178,903,4,380,444,13002,222,1436,2480,249,260
46,3024,365,4156,1570,117,1251,613,791,846,697,4269,2254,467,1109,1940,658,5340,1533,1283,380,2435,1535,138,919,2313,296,548,1124,1289,394,316,973,9071,301,689,1137,1057,3649,239,968,2205,4197,1525,771,1201,2200,712,303,1613,3000,1842,702,6303,1908,1480,516,435,390,608,658,27909,551,674,3617,3099,963,548,69364,877,1027,143,2991,2091,1871,239,331,557,1537,561,58,306,444,8635,294,309,2536,596,1445
47,1535,315,5259,2107,1994,1459,199,540,504,184,5934,1480,387,849,1518,606,7523,1066,1166,300,1908,1914,249,766,2587,293,623,1278,2173,1711,423,1791,8085,283,581,2054,1443,1936,1106,375,2235,2889,1722,1679,1072,2215,411,1141,4348,2397,5380,867,13879,2259,1511,1095,678,534,1320,1160,26914,868,834,2944,2035,518,190,68959,849,963,195,5452,1582,4279,761,1388,760,1730,314,123,630,465,23517,695,1878,8186,389,951
48,415,2,0,0,250,0,1,0,0,365,0,0,606,269,0,45,0,15,0,0,1,3048,479,2196,3231,0,847,2905,1,0,0,0,1,210,0,0,0,6,0,0,298,192,115,0,265,1,0,0,0,0,9,0,0,0,0,190,0,1,0,0,0,0,0,0,1,0,0,5080,0,0,0,0,0,1,0,0,113,1,0,0,0,81,1,0,127,1,0,0
49,9487,948,8764,5350,1,2344,1683,1241,487,786,5061,3403,293,1137,4207,1469,13370,1282,843,2185,2820,1203,178,985,1398,371,348,1311,3776,1159,1412,1882,18708,1144,1613,2393,2386,3525,2487,929,675,1899,2167,0,3080,4249,1524,790,5469,4577,3426,680,18838,5542,1410,924,0,1608,2425,532,41521,1550,1950,110,2600,780,494,139224,1302,1257,3356,3593,2034,3655,1494,1536,1395,1749,331,354,1865,1255,38705,95,1140,5557,616,1355
50,5424,414,5327,497,395,2622,816,161,933,86,4089,2484,274,1851,1151,236,6370,799,828,1955,1473,803,85,515,1510,304,256,737,848,698,615,702,4049,271,365,1765,782,1621,779,674,1004,1005,467,1099,1481,1076,156,624,2468,1663,3308,281,5309,995,1559,655,630,124,405,1569,22390,749,337,1755,3364,762,483,56810,1208,1631,361,1583,268,336,310,864,191,1059,268,146,758,499,13277,405,1096,6058,1304,879
51,12743,2332,21301,5704,13,8660,4975,2499,4018,2451,13750,8114,2235,7462,8991,1080,26977,5567,3063,3795,2339,7725,805,2635,8906,2,4809,3718,3861,8016,6094,4180,15483,1179,3078,9110,9851,5350,6192,1178,7860,11683,4785,2081,2371,5070,2918,1968,14364,11563,16257,2089,42721,13790,7164,2123,3626,2164,4657,4157,114644,2814,2406,18338,8429,3250,4113,560825,1719,3745,1623,9093,2683,7621,4966,3807,2197,6548,2380,4060,2389,1837,47975,5580,6573,32379,3752,2905
52,8343,934,11616,5486,1843,2039,541,1118,785,701,2031,946,0,1391,999,850,7863,1025,717,2505,2704,589,21,475,674,114,471,468,2423,1656,881,2293,14172,572,2594,2972,971,2605,1927,219,623,2361,2653,0,2938,4549,1011,445,7662,1381,3742,89,12023,2796,1916,563,0,1269,2586,730,36510,1239,1180,0,1006,1241,808,131035,1567,1030,4037,1963,828,445,670,1771,1073,1042,484,884,2876,776,31810,121,4605,17731,431,896
