,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60
56,2065,4629,325,763,1011,3919,3616,6143,3626,4138,238,299,4863,1998,1760,2382,2414,1584,1886,440,3180,1223,4415,587,1725,494,2073,1903,1689,3551,2204,826,913,2977,3855,4685,1514,3704,688,1400,2463,2127,1427,45862,2026,175,359,1465,2403,1452,0,3590,0,2289,629,1943,0,1258,1545,521,1514
57,263,1,0,70,194,1739,1994,4965,2108,1437,185,424,1560,1694,881,1669,713,2374,1110,607,2394,510,707,629,714,668,49,138,1208,230,47,618,5,667,6828,2861,2065,624,97,66,35,0,316,39561,1373,102,95,1152,3,2795,209,1804,1383,70,2,551,1257,1832,314,1057,747
58,5782,7173,3146,6189,2986,6546,5087,8571,3825,2256,848,6027,8022,3192,4407,9729,2269,894,3537,518,1961,1367,7676,2187,2484,1927,1361,4908,7655,5457,3516,1569,6295,4411,14702,7685,1200,4978,4624,3342,4784,1791,4166,532701,2166,17202,3541,4329,3478,2199,904,4894,8047,5022,752,1503,1332,1689,5133,2516,2618
59,1036,0,603,715,360,835,600,946,731,796,278,1220,2837,1221,16,0,791,1558,2982,2,3014,47,1036,1,418,917,103,91,311,600,457,1472,507,480,7111,0,768,933,340,752,0,0,263,185981,863,0,0,534,28,836,1382,2733,741,4,70,0,957,1503,46,773,640
60,2998,12936,3031,7851,2832,5295,1070,10803,5731,2908,3184,4408,18389,8194,6701,3073,4915,3710,6995,2367,3978,1538,7009,4191,2943,2090,3638,4326,7814,7362,1400,4487,2046,962,26760,5773,2971,10147,5656,1366,4352,3051,1502,189982,4048,5238,7500,2487,2456,2739,1325,7268,8366,5362,1705,2378,3045,1171,3002,2979,3874
61,1950,6129,1001,3750,4340,7997,6209,12926,4367,2481,2064,3145,8205,6008,1910,35,11132,2706,12490,1011,6390,2906,4347,1791,1816,3240,1672,4907,5540,7559,628,3423,2201,2583,9879,1845,997,1597,1765,1359,3235,1967,2,279808,4038,2175,2374,2786,3112,1107,2241,5223,3008,1344,1353,4774,2609,2165,3892,421,1985
62,35,40,7,0,0,36,27,6,38,45,10,9,70,13,1,26,7700,7724,21145,743,8535,28,18,12,1,11,5,14,50,16,0,3,0,10,118,15,0,27,0,13,6,25,2,21584,3,8,0,0,2096,1,89,36,0,15,18,3,40,10,2,30,2
63,9106,10064,0,48,80,9616,10096,4,8538,13840,16,1815,17823,1751,72,5893,14380,3287,860,3209,3364,7883,3468,5029,1,2985,3,4312,16416,3267,0,5,2,2373,31772,4884,258,5041,395,2127,4360,6565,3,1504918,717,4234,2,1,1404,2,21940,12448,163,1931,6273,1083,13165,2499,1371,4881,729
64,837,1474,763,1444,1044,1457,1020,2025,512,652,119,1239,2030,724,845,2564,382,599,689,151,706,536,1068,512,312,327,507,1053,1026,1378,851,781,627,567,1619,1433,252,1072,1366,1198,1290,559,933,66312,792,2716,1176,568,420,470,163,1671,1048,975,168,366,203,518,1268,192,375
65,8968,10867,7547,6972,8211,13292,7303,21903,8254,6096,818,6641,21032,6836,4975,15445,6593,3188,8098,980,6140,6396,14819,5087,5036,2598,2388,6220,7136,10613,3781,4401,5723,5457,22820,19430,4606,19213,13268,4092,7648,8047,6851,503714,10792,17215,6149,5603,4934,3057,4840,4313,14516,9828,5249,6075,4721,6034,8639,5261,3666
66,3094,13510,2768,3541,3792,7241,6591,19048,4737,3511,2008,9605,14698,4807,3586,5215,7023,4160,8548,816,7050,3482,7766,2059,1137,3646,2428,2998,4182,6588,875,7385,5026,3229,5484,6980,2936,1964,5743,3999,4560,3694,3103,58642,6521,2416,3280,3036,2571,2428,2792,8153,1749,1305,496,1530,1577,2572,4027,1158,2772
67,1312,970,572,594,111,2182,800,4880,1763,677,45,2709,1491,946,1308,948,205,1203,313,509,1890,1175,35,3,419,358,475,1480,1311,961,1820,61,425,1220,8101,1104,767,712,104,196,0,317,0,53674,1973,0,0,1424,1617,30,2576,1863,642,639,6,773,19,132,1416,990,1001
68,8989,7632,2585,427,116,11160,4221,14023,11333,9612,5029,5526,6622,21122,243,12030,7734,7168,4394,2432,4669,957,2774,0,9345,44,3118,6443,4452,1860,5070,7147,37,3704,54678,9275,2429,11734,6776,3549,9548,3281,2286,398382,265,21876,581,3477,9718,5030,5321,9118,5977,3062,2109,3648,4231,2834,1639,2449,5658
69,497,177,254,1997,165,3245,224,746,796,264,1712,3604,912,1154,546,427,1463,2097,1897,456,2316,73,184,875,100,10,15,1290,1894,1133,42,160,506,508,18836,2241,181,2107,3485,204,93,178,387,103673,1813,401,607,322,622,49,4288,488,246,558,483,5,1948,3,2281,27,215
70,1112,4324,1000,2622,3373,6649,4161,9876,3485,2984,494,4367,6431,3466,2923,3242,2645,2102,4194,1614,4097,3095,5290,1934,1925,2517,1989,2821,3741,3145,4907,2151,3169,3326,3944,3699,2075,1555,1626,3058,3685,2230,1587,49960,3066,4174,2568,2309,1694,1662,1067,9409,1799,2531,1271,2008,1728,3045,555,1498,1676
71,18742,0,1596,3017,0,0,863,5565,3228,7205,0,0,0,1358,0,7,2442,1090,3556,1805,3491,5206,1538,1379,2462,0,1901,3898,2624,3244,0,3281,959,638,2124,613,636,1,19,0,0,659,3803,582924,0,0,1346,1256,297,1106,0,0,0,0,278,0,0,689,8,3407,2421
72,3708,6957,2884,8239,4005,3368,3637,9211,3509,2430,888,4519,9532,3667,4741,47,5515,2903,6352,673,6119,3704,5347,4043,1289,829,809,3963,7544,8126,38,1388,1181,2329,12477,2582,555,2377,2482,2431,1072,3327,1245,459151,7765,5401,2949,2236,1371,1468,1397,2888,2711,2193,1564,1226,456,3040,2127,2166,761
73,2261,14378,5252,1323,833,4911,5012,8153,9807,1237,1666,6957,10330,12777,330,4608,5128,7274,9177,1,5732,29,4367,3862,3389,6261,12808,8886,3938,2287,0,0,2,3618,43586,4575,0,4869,16579,3061,2050,0,2362,496297,11622,3092,0,2,3260,0,8722,13954,3538,550,2291,8105,735,6198,2899,0,4494
74,9240,15245,4362,950,617,10147,922,7048,5445,20880,2016,10415,14455,15492,6506,16956,8762,17516,340,7670,8210,4,9092,1613,6667,4216,4705,10305,13487,3773,1907,5685,517,0,91565,9916,2196,24981,3107,4330,13743,77,2,311897,7182,143,720,200,4091,739,7935,5273,12419,3164,36,6822,7036,7145,1326,2673,6193
75,3479,7282,1128,6278,3584,6719,4220,10016,4294,3815,1918,2096,3625,4477,2228,7356,2168,1729,4076,1144,2610,2018,5668,2418,3135,4315,702,1464,5017,2598,1502,4999,2655,2078,5042,5689,2011,1973,2575,701,4124,2482,3748,52493,5391,3321,1695,2843,1916,2727,479,3816,3793,3999,423,1909,447,2885,5027,1373,1662
76,1393,2859,51,2850,1549,4167,2093,5459,3000,2869,2598,2129,10701,2955,2021,13,8251,5558,11313,2313,9379,1684,4334,3370,2831,3873,2451,2636,663,1325,546,2505,1805,3222,18067,2533,8,5944,1053,1845,1318,3946,4316,275770,5282,3202,2170,786,629,7,3157,5072,2690,2913,1484,1324,3750,1677,2897,632,2250
77,2025,7742,1602,7964,3893,6465,3681,9251,6603,3187,6437,4233,14513,7706,3030,8331,5544,4650,12013,1979,5921,1458,9127,3380,2686,1001,2968,3909,8914,7308,1917,5911,2479,4652,40397,7759,885,11317,5186,5715,2434,1938,1487,197351,5490,7871,3279,3540,4879,1429,4473,7968,4429,11079,1651,616,3684,1667,3460,2675,2964
78,11147,6715,452,0,136,9569,3819,9645,11731,5847,366,10536,9920,9860,4143,3396,9686,5816,14957,3966,6400,4244,8506,1141,1996,3356,5,2645,22157,5246,8836,1553,5286,0,38820,7710,8750,16374,575,1502,3403,1619,5330,770368,17573,5475,3747,17,23,6955,5166,8135,3051,2145,0,2153,2013,2149,2341,2252,4945
79,17735,36,0,2,17,9256,7822,8384,8409,471,4344,19528,8894,22638,5002,8714,22214,12173,4902,4541,9922,17786,3920,3810,2817,1513,7258,13778,21130,4177,672,5146,7,0,65715,0,3,1601,6180,2470,14801,0,0,1038564,1,0,7085,184,4952,6932,9137,7068,3,753,0,4945,2569,2,0,7908,10777
80,713,0,558,0,3,5117,0,7036,4257,5,3670,831,7396,0,4,3802,24953,9951,25196,14748,38470,552,2869,10195,711,96,3380,1583,3143,3677,0,5784,569,0,40690,0,1,41,1088,0,37,2,62,79731,8094,2,0,281,1787,1,0,8652,0,0,2019,0,0,0,2308,4263,1108
81,305,13,2681,1465,558,5326,0,2107,4366,118,2834,2827,7457,3593,1387,934,6019,1809,5776,0,4534,131,2981,2081,37,2586,1072,5085,721,3046,139,40,472,624,25305,0,0,11545,4628,290,524,13,1,161553,4430,1095,503,998,2474,0,10230,705,2190,2004,0,225,2653,0,1775,25,1817
82,4434,5057,3048,597,115,10436,5680,4524,6062,331,5259,1903,9943,5309,5386,1517,2609,3267,15409,14,6166,2837,2971,10,409,0,2182,4603,8572,134,5825,351,2523,0,49445,6593,3479,7464,3646,0,6475,532,708,300052,1711,546,3,2,778,0,2729,2029,29,7109,0,1352,190,2,232,0,8842
