,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74
56,2466,0,746,416,358,538,0,1,1238,3686,0,3277,265,2912,936,200,903,216,0,3592,0,632,0,79,878,1274,0,0,791,2538,0,283,3050,246,2262,2947,2898,1586,0,756,1352,1616,1,479,494,524,1830,0,0,2184,1805,15740,1810,1026,1023,0,1,442,625,10718,968,5010,1043,881,147402,2,241,2209,0,0,1421,7869,1208,2976,0
57,43,0,0,0,7678,0,0,7,4,3,383,0,0,1,3,0,0,0,7,786,31,843,0,223,12406,7305,376,6955,5,12497,893,8920,43,0,0,10,8,10,6,0,1,0,0,3,3,3,0,3218,1,0,0,22,0,0,0,2,0,0,0,0,0,0,0,0,25675,0,0,0,0,0,0,0,0,0,0
58,15314,0,21277,866,2847,14045,2450,1099,13087,9896,15,6204,14427,47523,777,5678,3632,7317,7868,7389,253,1149,1236,813,6880,11800,1296,2,643,7382,5,848,5128,14891,4916,6338,21053,1448,1581,15134,12129,13316,3515,8427,6000,3063,2102,0,3341,11259,15179,44287,29333,6324,7797,76,8143,1194,4840,143031,2959,70154,22159,8041,730366,5408,16655,5720,3632,0,9433,32297,2406,23637,3227
59,22097,1814,33131,2820,3273,10707,3517,1875,10876,8563,0,9383,11701,28600,509,7019,6709,3242,6288,6063,336,794,0,455,5190,12767,1,0,3145,5627,1734,249,2664,10389,1188,55839,28131,2442,1534,10744,9778,7503,1674,1961,5425,2847,2748,0,5451,18667,8774,51636,33792,9461,2525,1361,4910,4510,5023,129854,8225,31746,9958,6067,809377,6270,14186,8205,9861,0,8256,52483,9867,31611,4139
60,6,0,0,0,4,0,0,2,1,0,122,0,0,1,0,0,0,0,0,21708,2716,4058,0,1758,25216,9168,214,0,6096,18101,1,4407,14,0,0,8,1,1,0,2,0,0,0,1,1,5,0,0,4,0,1,3,0,0,0,0,0,1,0,0,0,0,1,0,16587,0,0,0,0,0,0,0,4,0,1
61,1616,270,8720,826,0,1966,1726,496,3954,2939,18,4551,1745,9316,219,1865,2381,992,2040,922,5,71,213,54,936,2523,146,0,398,719,52,65,1203,3380,1883,0,5303,498,545,2277,4134,1393,2266,2647,1541,1205,395,0,3536,5293,3334,5945,8588,1196,552,2,1203,1075,540,35300,1870,14304,4521,1890,65611,1540,5375,2637,405,0,1520,13670,1645,4302,1166
62,7125,0,13124,2821,1022,5103,2496,1319,16388,4229,0,3549,1431,14696,298,3094,1527,1988,2354,1737,0,469,1,216,1558,3998,0,0,849,1076,89,259,5266,5964,2781,0,14754,532,822,8463,10657,5653,1813,2316,2939,2175,735,0,4632,7947,4901,2945,13142,3797,4652,0,1050,2583,1678,73882,1951,11129,10011,3579,94894,1640,6573,1870,294,0,3951,57709,1189,3529,3277
63,12943,1,22670,922,657,7431,1689,5,9342,4369,1,5306,4320,23118,894,3108,5658,1856,5174,4033,218,419,752,330,2179,11705,2346,0,864,4502,156,386,4270,6355,3149,1000,10332,727,943,7885,9353,4125,1329,1997,1987,3021,691,0,3120,13538,5911,8499,17199,4552,4279,9,4961,3699,2561,82578,2424,15875,7659,5005,158269,1942,9444,685,5546,0,6877,28747,4214,21804,1830
64,10359,0,38867,9975,0,6848,12260,3217,35699,11954,1388,15947,3625,32401,4478,10740,16550,5065,28526,14884,788,657,1,228,7109,17082,2435,729,4253,7640,601,1223,18062,5293,7166,3,42888,4737,673,18999,15089,14073,2570,2361,7315,6895,4074,0,9124,18120,16775,34849,45295,3391,5743,0,7351,0,11463,123589,5589,142360,39065,18480,196693,2759,19392,7122,1836,0,5498,107739,3488,24391,11471
65,9764,0,15193,1213,349,8402,2057,1586,13303,3670,5,8215,3799,18125,312,2788,4002,1992,4420,3070,5,204,753,142,1478,4122,417,0,855,2848,594,183,3889,6322,1902,240,11066,475,1307,5790,12385,4083,1658,4087,3610,4285,1403,51,5590,13498,7390,7664,23309,5394,3690,591,3029,1456,2648,57012,2619,20373,12718,3163,228305,2194,5740,2653,8030,0,3430,54266,2744,18642,1427
