,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78
48,12599,5224,0,451,1922,2192,1544,30277,3066,187,2787,1451,149,0,12112,1,6276,183,15830,0,57,3690,2370,2509,5709,1223,3207,3900,26,2750,5577,11832,1237,2541,349,985,0,3116,1282,143,6069,3310,13373,3393,2010,625,7025,20964,0,1160,7204,0,0,0,2278,517,0,16949,1584,0,150,659,608699,0,5914,595,792,11915,3847,5269,4541,4458,0,3236,0,7312,3426,0,8631
49,258,259,0,43,36,26,168,1048,393,46,363,48,0,0,1004,0,128,68,2,0,58,379,547,489,821,213,691,260,1,435,25,203,151,157,9,6,0,464,60,33,225,205,855,233,88,71,481,477,0,0,921,2,0,0,83,71,1,993,24,2,0,0,2620,0,1,23,0,88,30,175,558,0,0,454,1,761,150,1,161
50,735,776,2,490,203,22,149,2750,508,115,505,298,0,0,1284,0,331,83,195,0,253,1978,510,376,816,160,517,439,0,336,264,1793,154,604,70,13,0,875,276,0,385,324,1097,260,504,14,408,1960,0,66,1867,0,0,0,719,67,0,2211,15,0,1,56,10295,0,367,113,32,625,76,338,815,32,0,727,0,1676,48,0,602
51,538,483,1,386,214,314,189,4480,1038,76,906,363,0,0,2955,0,750,7,539,0,36,1099,1371,1224,1457,613,929,1371,0,508,398,504,155,173,303,291,0,513,719,136,840,453,3529,597,1128,194,2103,2341,0,224,2041,0,0,0,1378,258,0,2369,241,1,152,41,16878,0,1577,0,0,2156,303,425,1627,502,0,766,0,312,362,0,1157
52,56,151,1,156,76,178,59,1673,280,89,123,79,0,0,981,1,227,0,139,0,0,328,499,443,964,228,623,254,0,117,143,0,110,90,8,9,1,172,227,131,107,155,566,261,122,37,798,626,1,27,681,0,0,0,23,198,1,657,65,0,33,4,7957,0,168,1,0,339,103,219,201,26,0,250,2,377,54,0,382
53,568,419,31,50,126,45,290,2144,275,0,363,131,0,0,786,0,222,31,233,0,0,1101,559,499,843,291,711,432,1,265,385,731,34,116,8,24,0,82,427,1,303,132,876,334,394,101,341,647,0,1,1740,0,0,0,181,154,1,529,58,0,1,6,5620,0,89,72,51,529,102,108,730,142,1,404,2,640,127,0,297
54,239,34,2,171,238,21,105,1974,225,0,35,70,6,1,268,0,221,0,229,4,110,246,577,410,511,132,444,83,1,270,117,59,84,100,0,64,2,147,47,112,85,47,706,219,117,40,1207,1079,0,96,2040,1,1,0,179,20,7,442,5,1,0,20,16534,0,182,1,0,206,97,190,151,129,0,427,6,342,2,0,80
55,464,337,0,147,3,94,154,2880,195,29,81,114,0,0,820,0,101,0,215,0,31,417,545,344,816,141,337,535,27,220,216,703,81,93,27,102,0,118,184,64,417,135,1034,235,827,63,368,942,0,0,1263,0,0,0,269,51,0,672,37,0,19,35,25195,0,184,0,163,850,111,259,710,178,50,303,1,720,101,0,427
56,15311,6408,0,1900,2126,1847,2640,16157,4492,3,680,847,62,0,4547,520,5634,0,26123,0,2,2819,3698,3040,8436,2580,4598,1376,0,2141,5229,4464,1271,2500,674,4195,1,1811,1757,322,5060,3743,12373,2223,4665,2243,9223,19400,0,2179,11773,0,0,0,2287,562,0,13511,1553,0,369,396,641442,117,6997,7,27,17500,3522,2942,8142,1389,0,2304,0,3161,1665,0,8169
57,14926,5825,0,945,4502,2201,1701,18537,1830,457,3775,3184,113,0,4758,0,3309,380,3142,0,220,12490,1622,1153,3347,491,1900,2779,0,1732,4013,13886,354,1570,2787,1006,0,3511,2027,761,2772,2201,7827,2204,8603,540,4435,10959,0,396,2757,0,0,0,1827,316,1,11353,830,0,0,1109,245346,0,3597,721,310,15288,1984,1524,5983,2002,0,2681,1,3260,3785,0,7368
