,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64
56,2065,4629,198,760,139,763,3919,3616,6143,3626,4138,204,1488,238,299,4863,1,1998,2382,2414,568,227,373,1584,1886,95,440,3180,229,124,1223,0,816,4415,0,1,139,1903,1689,3551,826,108,1,0,3855,16,4685,3704,0,2,1427,1,223,45862,2026,326,2403,0,3590,0,342,6,521,29,1514
57,263,1,0,0,0,70,1739,1994,4965,2108,1437,0,0,185,424,1560,842,1694,1669,713,387,0,745,2374,1110,0,607,2394,821,0,510,0,482,707,0,0,0,138,1208,230,618,0,0,0,6828,0,2861,624,0,0,316,0,0,39561,1373,0,3,209,1804,1383,669,0,1057,0,747
58,5782,7173,0,1038,226,6189,6546,5087,8571,3825,2256,0,1147,848,6027,8022,961,3192,9729,2269,325,511,337,894,3537,384,518,1961,591,317,1367,119,900,7676,0,25,346,4908,7655,5457,1569,244,0,0,14702,285,7685,4978,0,3,4166,0,9,532701,2166,266,3478,904,4894,8047,781,0,2516,882,2618
59,1036,0,0,0,0,715,835,600,946,731,796,0,0,278,1220,2837,0,1221,0,791,241,0,165,1558,2982,0,2,3014,616,2,47,866,347,1036,0,159,1,91,311,600,1472,0,0,0,7111,0,0,933,0,0,263,0,0,185981,863,0,28,1382,2733,741,1457,0,773,0,640
60,2998,12936,0,689,3,7851,5295,1070,10803,5731,2908,0,936,3184,4408,18389,17,8194,3073,4915,1106,1040,583,3710,6995,2,2367,3978,718,627,1538,4876,682,7009,1,1,390,4326,7814,7362,4487,715,0,1,26760,1871,5773,10147,58,1,1502,1,2097,189982,4048,699,2456,1325,7268,8366,1056,1,2979,260,3874
61,1950,6129,0,2518,54,3750,7997,6209,12926,4367,2481,0,1001,2064,3145,8205,0,6008,35,11132,696,43,1134,2706,12490,3073,1011,6390,1,313,2906,50,800,4347,0,0,1,4907,5540,7559,3423,0,0,0,9879,0,1845,1597,0,0,2,0,1,279808,4038,0,3112,2241,5223,3008,247,1,421,0,1985
62,35,40,2599,0,32,0,36,27,6,38,45,0,0,10,9,70,0,13,26,7700,2932,2293,2157,7724,21145,1,743,8535,2976,24,28,43,24,18,0,860,1175,14,50,16,3,3,0,0,118,0,15,27,0,1,2,0,0,21584,3,0,2096,89,36,0,0,3,30,0,2
63,9106,10064,0,13,7,48,9616,10096,4,8538,13840,11,3,16,1815,17823,15,1751,5893,14380,3170,0,2629,3287,860,0,3209,3364,1,3192,7883,13114,6419,3468,3,3,228,4312,16416,3267,5,3,13,4,31772,19,4884,5041,0,45,3,8,6,1504918,717,6,1404,21940,12448,163,1,30,4881,13,729
64,837,1474,1,151,2,1444,1457,1020,2025,512,652,0,206,119,1239,2030,31,724,2564,382,70,81,48,599,689,184,151,706,130,32,536,86,216,1068,0,1,11,1053,1026,1378,781,69,0,0,1619,43,1433,1072,0,0,933,0,83,66312,792,82,420,163,1671,1048,363,1,192,130,375
65,8968,10867,673,2286,1,6972,13292,7303,21903,8254,6096,0,51,818,6641,21032,1539,6836,15445,6593,553,0,884,3188,8098,535,980,6140,16,547,6396,940,1606,14819,1,0,257,6220,7136,10613,4401,297,0,0,22820,628,19430,19213,0,0,6851,0,626,503714,10792,375,4934,4840,4313,14516,3180,0,5261,5137,3666
66,3094,13510,0,6,1,3541,7241,6591,19048,4737,3511,0,821,2008,9605,14698,548,4807,5215,7023,905,852,453,4160,8548,1348,816,7050,1068,409,3482,1,663,7766,0,0,58,2998,4182,6588,7385,0,0,0,5484,0,6980,1964,0,0,3103,0,365,58642,6521,0,2571,2792,8153,1749,883,0,1158,1432,2772
67,1312,970,0,0,1,594,2182,800,4880,1763,677,0,1455,45,2709,1491,0,946,948,205,126,0,219,1203,313,1377,509,1890,610,524,1175,0,195,35,0,0,0,1480,1311,961,61,0,0,0,8101,0,1104,712,0,0,0,0,0,53674,1973,2,1617,2576,1863,642,15,1,990,0,1001
68,8989,7632,0,1254,0,427,11160,4221,14023,11333,9612,0,0,5029,5526,6622,0,21122,12030,7734,1956,0,1665,7168,4394,3979,2432,4669,2,1631,957,1,3,2774,0,0,0,6443,4452,1860,7147,0,0,0,54678,0,9275,11734,0,0,2286,0,0,398382,265,3278,9718,5321,9118,5977,1492,0,2449,1,5658
69,497,177,0,105,0,1997,3245,224,746,796,264,0,102,1712,3604,912,12,1154,427,1463,908,625,162,2097,1897,0,456,2316,25,1276,73,0,405,184,0,0,75,1290,1894,1133,160,9,0,0,18836,0,2241,2107,0,0,387,0,511,103673,1813,0,622,4288,488,246,83,0,27,611,215
70,1112,4324,0,1756,0,2622,6649,4161,9876,3485,2984,0,679,494,4367,6431,372,3466,3242,2645,640,0,188,2102,4194,328,1614,4097,637,385,3095,1020,773,5290,0,0,7,2821,3741,3145,2151,398,0,0,3944,73,3699,1555,0,0,1587,0,920,49960,3066,278,1694,1067,9409,1799,735,0,1498,555,1676
71,18742,0,0,0,0,3017,0,863,5565,3228,7205,0,5370,0,0,0,0,1358,7,2442,292,0,386,1090,3556,0,1805,3491,833,188,5206,3174,2091,1538,0,528,0,3898,2624,3244,3281,2994,0,946,2124,0,613,1,0,0,3803,0,344,582924,0,0,297,0,0,0,674,0,3407,0,2421
72,3708,6957,0,396,1,8239,3368,3637,9211,3509,2430,0,1904,888,4519,9532,0,3667,47,5515,461,392,345,2903,6352,9,673,6119,583,352,3704,823,1024,5347,0,0,444,3963,7544,8126,1388,2,0,0,12477,0,2582,2377,0,0,1245,0,0,459151,7765,0,1371,1397,2888,2711,882,0,2166,205,761
73,2261,14378,0,0,3,1323,4911,5012,8153,9807,1237,1,8081,1666,6957,10330,0,12777,4608,5128,1261,0,3,7274,9177,6601,1,5732,1407,1650,29,102,1154,4367,0,0,402,8886,3938,2287,0,1,0,0,43586,0,4575,4869,0,0,2362,0,0,496297,11622,0,3260,8722,13954,3538,2702,1,0,2780,4494
