,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95
42,7403,2347,1295,871,2338,2523,1751,1254,673,2136,3619,18681,174,4339,291,1092,2376,6726,8161,1231,2910,1461,2821,0,4759,1876,716,1681,1078,1395,1498,1386,3553,2478,3389,5315,1415,1827,1065,2575,5138,861,1477,7114,788,1658,2085,2326,479,1933,5183,7731,2452,5500,417,1457,662,2301,1046,11074,20617,4483,17323,1369,4167,71,1860,1260,2517,8388,127090,4111,2610,8902,1867,1824,2606,795,863,5213,1194,1314,539,1495,1292,2288,1121,1932,320,6820,2113,2123,931,1785,4591,2367
43,1997,813,674,315,108,1433,990,442,1393,451,571,3840,534,703,383,598,195,198,3112,249,120,170,352,0,5175,1315,514,872,135,753,1067,77,951,187,1331,3420,198,302,240,569,654,364,864,1269,751,638,1068,187,128,99,534,2603,652,3013,498,1199,1605,104,367,896,1464,251,2954,207,436,1006,596,282,212,3076,39283,819,369,3816,703,585,432,459,1012,871,765,482,728,358,91,115,126,557,818,1103,409,183,963,135,852,440
44,8948,2196,2310,1535,4703,330,1727,2518,750,3194,1431,29319,1,1162,7586,5765,1245,2668,13285,1435,2215,2170,993,0,1345,6439,4764,9374,76,7799,676,4657,1397,5397,1363,1,1446,716,945,222,4076,1384,2844,6536,0,1371,3124,4549,0,407,2542,11781,3762,75,23,617,0,2707,151,5111,8350,1663,11385,1724,2972,0,2901,2677,3999,4912,253355,6000,1183,8239,1912,1114,2789,1496,1580,8492,5005,1846,965,929,2222,1357,2258,8770,1236,5391,2441,4527,3857,3120,7955,2284
45,1280,372,701,122,432,44,712,711,738,206,260,3934,374,36,112,169,248,315,2744,4,292,159,0,509,3124,2601,1656,4509,709,2244,1148,292,1455,696,628,254,200,847,3,1052,0,44,46,918,261,330,915,819,499,134,629,2028,974,3247,813,804,1761,102,806,530,1132,770,4621,140,527,37,776,470,641,2470,65038,305,871,3369,627,500,1248,439,86,10,126,501,1249,237,76,451,328,775,304,1859,1089,13,458,250,436,1103
46,4584,1797,823,76,0,1217,469,625,4226,780,758,3098,1753,364,0,2,96,2058,1803,671,345,397,1033,675,2131,3479,1744,3028,620,1462,243,98,536,264,857,15770,976,871,698,867,657,0,1194,900,0,1431,579,1251,892,332,636,1431,479,4433,2150,972,977,180,888,3051,3762,129,5817,196,1017,726,365,471,1210,526,65543,108,315,2085,506,322,935,164,75,324,626,1670,250,776,450,0,1279,529,791,3554,119,633,0,617,407,451
47,5380,199,340,153,559,7,334,171,458,0,207,6222,664,577,619,138,0,3390,6393,452,416,201,520,0,15,2665,1644,5407,1705,4139,1285,9,2958,271,2119,0,458,1714,1055,1067,420,903,670,919,0,72,0,2459,88,0,253,2411,1094,3830,0,338,50,0,141,6321,6072,1225,9270,187,853,0,2317,577,328,6102,6588,861,151,2040,572,57,668,49,279,1585,1360,733,6,362,288,254,1144,1192,228,965,419,4,0,333,2208,992
48,15288,1292,766,1448,944,0,2872,68,0,0,3002,48586,2198,4612,605,2322,4242,1033,15844,1849,3885,4054,19262,0,4775,4721,5559,10388,1828,7285,2138,8971,8453,1282,3917,4,2136,4441,534,2177,1967,1,2632,4488,2489,2848,1347,2978,433,1914,3573,15376,2512,1217,626,525,241,7733,2302,9708,15940,4610,12684,3071,1680,0,652,3119,1514,10138,584513,5644,303,19838,6185,3302,7348,2934,8507,9260,7994,2550,4714,1290,1609,1378,356,7670,2834,8165,1970,1790,3836,2025,9014,2648
49,10429,2942,2295,1672,245,4079,1628,274,2774,1300,3999,21387,737,2431,3640,3257,2062,3249,14764,1786,3001,2542,118,360,9340,2110,2943,4538,392,2528,3219,1704,6364,2824,2764,3741,2101,1956,481,3458,7429,2385,2995,3461,1478,2254,3049,758,1102,3365,3911,10315,3569,10681,1330,2574,985,3149,2391,15553,20069,5146,12615,1520,1833,226,3007,3347,2325,11150,236416,1756,1517,9607,3742,4571,5417,1924,2441,5191,1693,2297,913,1739,1734,44,633,4465,1189,4041,1797,117,2732,1588,4813,1631
50,8443,2198,379,1095,1654,1163,432,659,133,946,1327,11559,212,2037,9,374,1508,1688,5067,502,2848,295,1073,377,5062,1241,829,3167,250,1541,815,1013,1213,1902,1312,5658,889,1634,827,1360,3111,1307,867,2139,1583,406,1614,1921,135,357,1632,5904,1639,2670,285,271,479,780,629,8067,11586,2966,13796,699,2067,302,811,1359,381,12689,125258,585,2014,3825,502,692,3672,375,971,2731,622,1026,1054,972,1732,2216,1603,1190,399,2639,501,606,1170,1047,1354,1195
51,2891,481,1328,441,1482,415,1482,826,254,329,721,6482,1321,819,0,1724,121,1335,3796,848,890,408,1800,2532,677,1365,1552,2652,1053,1274,1234,1426,2843,531,1437,2,524,559,1047,818,768,306,884,1727,705,724,494,158,289,653,1007,3234,990,1980,135,266,196,330,459,1976,3597,1724,4152,136,585,500,347,581,1032,2190,57260,1737,828,13409,1859,927,766,1191,2701,1809,836,611,842,291,0,1314,455,657,809,3739,789,259,738,245,3755,1489
