,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73
53,4360,4264,2004,2325,19048,35358,0,6125,2251,6711,850,1706,0,4044,7832,0,30353,6344,788,11657,0,346,2548,1084,5379,713,1750,1492,0,0,0,2210,6067,4926,9584,346,3978,2049,10691,3795,386,2168,674,3412,0,1859,0,2474,1,0,19683,13325,5771,805,3392,4267,0,7838,4249,2594,3738,159390,4289,2632,9352,9235,857,0,222,10533,144,58,5949,0
54,4272,5299,136,6931,32664,18971,0,2445,6709,0,0,3166,0,0,14332,0,3798,8278,802,4911,0,0,7946,1897,6311,1854,5110,2054,0,0,0,1769,11084,63,23668,624,2053,5623,560,6127,0,465,4559,0,0,1937,1,3327,0,0,5,4,9812,227,0,11,0,1722,5621,121,2596,390664,474,676,12708,2099,0,773,83,7178,0,0,5032,0
55,2314,3593,1005,71,13837,29597,0,7252,3502,2272,0,1373,0,2427,13899,0,13763,17321,806,10041,0,0,8868,3944,15665,1973,7401,0,0,0,0,1364,5124,2204,12949,1,4303,2997,2165,3379,0,706,304,0,0,4057,0,2840,0,0,34,1,9375,0,3151,1621,0,1104,1892,1948,677,564084,236,35,11754,2987,17,0,0,11177,91,4,5856,0
56,273,34,227,14,4342,10001,0,2039,1883,280,592,4,0,722,3774,0,1511,3284,0,3164,1,3,4174,1565,6740,1199,5208,4,1,0,3,492,792,1388,798,16,1230,10,2571,2,0,1304,610,760,1,79,3,1189,4,0,5263,2139,993,0,1258,748,0,1262,1062,1151,3610,652809,728,184,2196,3611,1,0,44,3870,0,2,2207,0
57,80,213,53,587,2035,4017,0,254,118,366,3,198,0,97,1533,0,1630,283,0,1656,0,0,733,645,1574,406,1280,75,0,0,0,92,331,57,280,178,0,104,652,288,1,108,78,106,0,309,44,360,0,1,107,364,824,79,319,246,0,73,617,492,204,17126,33,124,780,393,0,0,1,890,29,0,546,4
58,3700,52,0,1461,26084,43547,0,9167,1931,188,0,601,0,774,8281,0,11926,26352,504,14385,0,0,13482,3217,9776,3822,6834,3896,0,0,1,2560,2178,1691,9464,1189,3573,3550,0,2046,1,194,1359,380,0,2354,0,3919,0,0,701,838,4968,0,2238,1956,0,3901,4793,455,3950,532719,2113,1,16778,2954,0,0,2277,12541,0,0,5363,0
59,3088,5238,1045,1376,17810,30728,0,6510,1968,3189,1057,248,0,1264,8275,0,21399,4849,65,7213,0,1,2287,1056,5112,1179,3755,1578,0,0,0,738,5075,8939,11188,435,6336,1776,11465,3421,0,1617,2068,6939,0,2046,236,2187,0,0,25672,20221,2718,0,3141,4896,0,8766,2544,6129,7500,403641,5163,979,19419,12561,2797,1,0,5168,2,703,3807,0
60,1849,909,0,2503,14204,16479,0,3635,1687,2078,627,1052,0,2101,6135,0,4890,904,305,7720,0,1,2570,1745,5278,895,3914,285,0,0,0,405,3034,2398,4250,524,1671,114,8572,3181,0,414,1235,2512,0,1488,2,1724,0,0,13474,11337,2963,345,2598,2795,0,2616,2126,5348,786,91235,1000,35,2406,4553,0,0,0,4022,85,0,3067,0
61,911,20,362,335,7115,27255,0,1103,358,1810,1,709,0,1037,1195,0,7284,10788,2,5746,0,3,4722,1436,6518,1504,3070,774,0,0,3,1621,405,0,2291,501,1040,874,115,899,3,912,1128,0,0,2088,0,1,0,0,13,1752,4627,0,486,614,0,1716,670,45,869,192307,1382,452,7214,1420,0,0,9245,5794,37,63,209,0
62,1493,3242,31,1076,15203,29645,0,3228,2454,2439,457,894,0,2421,4249,0,10202,6604,1,5136,0,1,4009,3458,6953,1964,3499,481,0,0,1,1711,1886,527,3661,526,3423,2270,776,3749,1,1488,410,673,0,1484,0,2446,0,0,416,456,5631,225,244,2830,0,1961,1097,3009,2730,194202,967,1490,14902,1411,0,0,1059,9560,0,0,5654,0
