,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80
48,43550,3883,423,54139,2613,1339,9771,5977,4411,5176,21788,12283,16674,10742,51676,11865,9946,12555,6620,6316,2618,10262,793,2498,6127,9340,15079,5484,5064,32339,2192,11226,15532,15668,1870,5083,7200,8396,8827,7519,2213,4273,6490,6143,3785,23984,13521,54468,4366,58900,27217,9452,12604,6854,8348,5963,141554,5655,4671,95788,20614,6237,752566,6268,10926,19954,4938,16435,5335,4073,7608,10740,3744,3963,5817,63515,9146,7946,48115,3990,5180
49,4,0,126,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2194,2233,4136,965,2192,2161,1,0,0,0,678,0,0,0,0,0,1,0,0,0,1,0,1,2,0,0,0,0,3959,0,1165,532,0,0,0,0,0,0,0,0,0,233,0,49201,54,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
50,3686,2103,4912,16476,3209,2541,4911,1791,10,2422,4067,2397,4421,3941,12556,8953,4213,2744,3460,5728,1939,15310,0,3023,5187,5939,4942,2214,3520,18380,2459,4455,8282,2846,1833,720,1647,1735,2910,5876,2094,2455,6675,2101,4016,6504,4052,9597,2985,19315,7644,3582,1920,404,1222,3534,47126,3601,1972,27682,14612,906,359147,865,1799,9441,1112,4844,588,2463,1706,5950,2807,577,366,30321,983,2309,29307,1610,2408
51,6854,292,822,5155,2739,136,1425,261,1188,609,1856,1349,364,991,7384,311,1065,2377,886,1243,693,2198,684,391,992,1345,2179,347,1223,12800,1133,1838,406,2394,355,2196,380,375,1175,924,0,1278,1322,1149,301,3402,1775,4732,389,10140,2225,1482,357,2,1088,981,25791,491,577,0,2287,901,96027,424,747,1196,1101,257,302,595,812,938,346,226,209,22073,97,2804,9043,811,1400
52,11511,1811,583,17504,1686,8424,6862,6414,2050,1694,15197,6997,5506,8290,30731,2822,6326,4324,2498,3429,2694,8763,528,1101,3585,5450,9670,3305,3359,9098,1533,6059,9368,2962,2864,4158,5051,2760,3157,3073,2207,4821,5823,3873,3944,19052,15473,17795,2202,30825,6381,4960,4334,1657,4923,5476,107624,3188,3060,46595,15398,2123,381844,3034,5531,17605,3066,3764,1890,3815,3629,11893,3929,2221,2931,27333,3018,3828,35603,2701,2790
53,3575,411,1311,9318,376,1094,5952,3489,409,1194,5619,3689,4778,3363,11011,2607,3588,2392,1743,3755,1359,4009,1225,1010,2886,1823,734,741,1310,9403,1308,3536,5987,1430,2128,1394,1355,2545,2146,1684,2693,2507,1936,816,1818,8500,2095,17874,1369,7820,3103,2752,877,2296,1572,2932,49086,1128,2416,36725,7080,872,176759,1748,1075,6207,1080,5099,397,420,2442,3500,1388,774,805,25363,1489,1008,18750,2163,2246
54,9692,686,1939,15700,2144,1674,6352,971,2683,3002,8855,3744,2510,5574,13023,2804,3232,3836,1180,2589,1366,3494,87,1069,3936,4355,6471,1800,3336,14734,1236,3894,5276,3291,1560,5109,1236,2926,2224,3006,0,2816,3110,1282,1434,10415,5164,9711,1038,17750,4961,4885,4221,953,3347,1347,71239,2625,2496,7202,8613,2117,298751,853,2403,5532,2583,3666,407,4107,1417,2543,811,4136,2043,29688,1341,5083,10374,1594,1587
55,9,0,1,0,0,30,0,0,1,0,0,7,3,0,0,516,0,0,3,32632,12399,24891,0,3542,23630,1,0,0,0,3537,1,1,1,0,0,3,0,0,1,10,0,6,2,0,0,0,0,13,0,27868,0,0,0,0,0,0,1321,6,0,1049,2299,0,9783,0,0,0,45,0,0,0,0,0,2,0,0,3,0,0,0,0,0
56,12846,303,2701,12591,1092,6815,1552,2546,1510,2611,9686,5101,2326,2089,10385,1869,2964,1719,1086,2110,1404,5074,551,783,1856,4039,2263,589,2039,10571,1369,3914,3432,2903,705,1592,880,1403,1057,1533,1179,1407,3333,1257,1322,6369,6666,6028,328,14890,2621,4396,909,1281,3203,3027,46443,1116,1508,33016,9432,824,173573,1451,726,6539,2717,2090,1045,2365,1142,3239,1692,385,823,23741,1079,1852,14688,2203,2514
57,6821,570,662,10146,3185,743,1570,1604,867,2141,10124,887,2408,3047,11265,805,777,2495,1520,1098,581,1610,0,782,1386,1784,2607,535,2207,11681,370,2496,2308,891,1412,2952,421,1298,1524,52,1990,1967,2563,826,1238,4429,2237,11590,978,10785,2345,2668,657,476,1032,1648,51015,1519,251,2059,3782,2757,40465,543,3476,3380,2120,1641,279,858,1130,1105,846,633,1269,17813,2390,2817,8098,1690,1056
