,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69
58,3463,1264,369,0,466,380,5636,963,138,1867,66,3398,465,1453,1688,7966,1046,479,1971,106,746,2189,2649,152,1379,7454,395,614,333,819,2327,708,309,2432,1257,1201,3487,1206,5248,238,3224,4618,3194,128,0,2185,0,347,0,330,5188,0,13,86576,0,2002,488,10319,1146,0,1613,0,706,3640,508,1494,650,521,3878,45
59,3354,679,174,21,212,551,4547,970,295,2277,0,1978,158,1268,631,164,2447,1515,2183,380,2002,761,1872,434,529,686,263,512,0,204,1992,0,33,1541,448,155,2781,634,477,0,1502,2009,1508,171,0,303,0,239,0,163,1776,0,0,86851,0,654,163,2094,44,0,1770,0,3542,3032,622,982,417,457,1957,168
60,1800,871,148,83,612,724,5780,552,101,1015,2,3044,136,177,26,17,610,605,1050,260,586,646,708,76,528,62,171,300,143,323,409,209,64,423,436,193,3643,801,351,101,1189,3061,5022,35,0,568,0,365,0,112,4071,0,64,16580,0,152,353,1816,367,0,1121,0,722,639,0,410,309,217,757,25
61,1934,488,5,375,306,448,6773,1666,42,1045,1,4443,532,1244,2026,1181,4482,2940,2724,1617,3287,2908,922,330,1081,2022,114,1210,4,1116,2326,1098,1,1161,1200,1586,2831,894,5512,2,800,4070,5085,0,0,819,0,82,0,998,3033,0,13,109657,0,1469,20,1144,516,0,2584,0,1433,2724,1655,289,338,1006,2403,394
62,29392,12831,1991,0,5027,7105,55617,7607,8,3987,1260,12659,1897,6180,16749,12696,4030,3323,7988,3565,5409,4984,10533,718,11951,14161,1614,5525,772,2979,8196,4905,2182,10123,4630,8033,34048,11198,15393,3686,25188,25943,15920,0,0,8453,0,3346,0,2846,29859,0,43,280902,0,6664,4106,67431,7786,0,8651,0,8173,13655,5965,13556,2557,3414,13693,3387
63,1960,1626,81,66,288,323,9980,1651,221,837,0,2085,580,876,0,1163,3925,2416,5998,1523,4159,1909,0,34,60,519,328,880,796,435,309,140,147,1413,963,215,4530,872,236,1267,1803,1901,109,0,0,729,0,1639,0,532,1416,0,2,22059,0,764,0,673,386,0,2019,0,4948,283,61,591,0,436,521,430
64,2584,860,265,293,227,1208,6988,1258,102,1773,0,3439,1316,1690,928,3758,3530,1667,3148,559,4652,1353,1079,0,702,2460,913,724,134,515,1848,777,0,140,622,897,3897,1338,209,612,1912,2958,3447,0,0,1866,0,195,0,152,1778,0,0,65566,0,584,481,898,1065,0,1676,0,3406,1778,562,180,503,750,851,393
65,3687,1548,452,47,402,358,9523,1376,411,1380,106,3268,410,1081,0,5153,2213,1441,1430,267,1906,947,1541,678,1483,1592,609,813,77,800,1385,580,129,2036,1069,609,5700,1066,3779,743,2553,2858,4303,269,41,1417,16,317,0,373,3863,39,0,86366,0,1909,465,6644,935,0,1578,0,1412,963,151,1767,524,615,788,482
66,3284,1062,0,0,1060,605,9132,1926,2,594,140,4119,786,1380,2606,7089,1334,1521,2702,431,2451,1095,1266,451,1045,8890,925,1254,315,706,1229,569,0,934,1142,705,4776,1131,5264,131,1480,3221,3630,188,0,2135,22,1578,0,476,3292,0,0,80605,0,1372,0,3418,1946,0,1691,0,2366,2486,615,768,384,486,2936,147
67,1419,1236,0,0,177,1172,9758,1298,77,1522,226,1907,90,546,404,1829,2986,1880,5375,313,3174,573,381,608,421,1054,103,418,2,18,1377,291,183,1316,577,1142,1813,700,1566,105,1232,3978,2592,220,0,1793,0,921,0,325,4493,0,0,57081,0,892,268,617,710,0,1008,0,1825,490,383,394,0,471,0,160
68,3601,1690,0,34,804,927,4208,1039,414,705,0,3401,552,790,721,3433,4189,2116,4984,1338,3567,2275,348,337,670,10364,260,1200,511,891,1402,1006,142,1294,1388,1030,4948,380,2543,707,2533,5269,4539,0,0,2539,0,565,0,521,3042,0,0,104737,0,248,292,3942,1982,0,3228,0,730,4332,977,1158,1175,556,1227,359
69,563,125,0,0,0,523,5614,679,0,0,0,632,212,774,183,621,2310,2399,2833,1045,2009,42,790,0,423,1,137,279,173,371,197,0,63,0,316,356,988,551,0,0,1405,1018,426,141,0,0,0,0,0,192,1269,0,0,10061,0,1356,0,0,0,0,604,0,1659,0,257,0,65,232,358,89
70,1540,481,2,0,93,800,5936,975,0,919,2,3847,339,503,386,0,4472,2752,3678,1661,5038,360,357,1,943,1,221,129,193,332,2121,660,123,635,757,344,1883,48,0,369,1959,4000,6164,0,0,302,0,980,0,627,2152,0,0,13272,0,34,0,564,991,308,371,0,1051,1545,0,582,371,442,453,223
71,1174,441,0,85,0,267,5306,520,4,1947,1,1476,572,0,752,336,3635,2957,4490,626,3405,1274,787,1244,271,99,446,180,1,513,520,322,302,488,117,396,4128,596,906,0,1169,2278,2023,0,0,22,0,268,0,304,1116,0,244,21036,0,728,0,350,8,0,792,0,2721,1420,124,310,276,580,118,22
72,5382,2596,448,0,607,647,5641,1231,131,0,0,560,271,1253,1417,1563,1686,852,1480,395,1060,602,1190,202,1788,8544,375,370,526,595,745,854,134,548,428,811,2038,612,2456,769,2950,4759,5090,0,0,2302,0,620,0,761,1861,0,0,72980,0,854,139,7057,682,0,2843,0,909,3872,871,1140,245,495,1594,44
